"species","mean_percentage","sd_percentage"
"Mustelus fasciatus",5.06132075471698,1.59482897909047
"Gymnura crebripunctata",5.046875,2.5307355444284
"Breviraja nigriventralis",5.01666666666667,2.47881031165501
"Oxynotus japonicus",5,7.74433647737154
"Urobatis pardalis",5,21.904291355759
"Mustelus henlei",4.98294243070362,0.945642771221006
"Galeus nipponensis",4.95959595959596,2.00018137916217
"Heterodontus mexicanus",4.95833333333333,2.37099338140476
"Carcharhinus cerdale",4.88405797101449,2.35456848542623
"Rhinobatos prahli",4.87096774193548,3.50667146492594
"Bathyraja scaphiops",4.86686390532544,0.974808773587544
"Bathyraja brachyurops",4.86120401337793,0.537946789070771
"Nasolamia velox",4.85815602836879,1.54653037536504
"Pristis zijsron",4.84225530566994,0.328833449085001
"Rhinobatos leucorhynchus",4.84210526315789,2.26654914494297
"Himantura leoparda",4.83814102564103,0.349369147099481
"Raja inornata",4.80829015544041,1.42055565974887
"Rioraja agassizii",4.79016393442623,1.15086689507106
"Anoxypristis cuspidata",4.78872326636423,0.333801140848528
"Bathyraja meridionalis",4.78526315789474,0.727351348614164
"Squatina guggenheim",4.78148148148148,1.2646119813765
"Narcine vermiculatus",4.775,3.48327533662027
"Rhinobatos horkelii",4.76394849785408,1.34826035209373
"Apristurus fedorovi",4.75555555555556,2.96329964417114
"Zapteryx xyster",4.72881355932203,2.41259837097499
"Schroederichthys bivius",4.71799027552674,0.56233757948548
"Rhinoptera steindachneri",4.69811320754717,1.70656263504847
"Raja texana",4.69318181818182,1.65429448696521
"Hemitriakis abdita",4.6865671641791,1.69738528450069
"Sphyrna corona",4.68316831683168,1.85553700288721
"Apristurus brunneus",4.67757009345794,0.786006332827192
"Apristurus japonicus",4.65248226950355,1.71757917369823
"Carcharhinus albimarginatus",4.64443432733895,0.228402823203492
"Dipturus trachyderma",4.60843373493976,0.460595633699895
"Diplobatis ommata",4.60416666666667,1.95400337992395
"Centroscyllium ritteri",4.578125,1.37360394578413
"Galeus longirostris",4.56862745098039,1.98156937570865
"Rajella purpuriventralis",4.56,3.89851046405981
"Rhinochimaera africana",4.55787781350482,0.667539507182334
"Diplobatis guamachensis",4.55357142857143,2.47871530868908
"Apristurus albisoma",4.55,1.62912258717397
"Dasyatis longa",4.54545454545455,2.18560702211422
"Etmopterus pusillus",4.53900210822207,0.324135259197753
"Leucoraja yucatanensis",4.53846153846154,5.47706188766238
"Cirrhoscyllium japonicum",4.52,2.4990772707916
"Rhynchobatus australiae",4.51821132347638,0.325640925909088
"Zameus squamulosus",4.51353874883287,0.386226388862295
"Isistius plutodus",4.51202749140893,1.06748449488558
"Cirrhigaleus australis",4.50534188034188,0.562480294338752
"Hexanchus nakamurai",4.47752808988764,0.397852440830325
"Carcharhinus altimus",4.47337278106509,0.431302216071612
"Loxodon macrorhinus",4.46246403348156,0.232329106190151
"Zapteryx brevirostris",4.46062992125984,1.13590308251842
"Parmaturus pilosus",4.44394618834081,1.14566502762425
"Parmaturus angelae",4.42857142857143,4.84558509452329
"Rhinoraja longicauda",4.3921568627451,2.78860912983403
"Sympterygia acuta",4.37037037037037,1.28832189927515
"Rhizoprionodon acutus",4.35477528089888,0.29143925883186
"Hemipristis elongata",4.33416597280044,0.265590529331065
"Urotrygon venezuelae",4.33333333333333,5.04747383783797
"Rhinoraja odai",4.33333333333333,3.90599802952009
"Dasyatis dipterura",4.328,1.68307558782826
"Bathyraja griseocauda",4.32253521126761,0.446153131811536
"Mitsukurina owstoni",4.31931166347992,0.581189392714439
"Carcharhinus amblyrhynchos",4.30485263471271,0.285331601367963
"Notorynchus cepedianus",4.28139754485364,0.364973825944386
"Carcharhinus amblyrhynchoides",4.27864506627393,0.250796434819292
"Carcharhinus leucas",4.26362625139043,0.236405122395814
"Scyliorhinus haeckelii",4.24764890282132,1.10439259258519
"Bathyraja matsubarai",4.24,2.26131275004926
"Bathyraja albomaculata",4.23285714285714,0.444696640464954
"Rhina ancylostoma",4.20339525944907,0.309675927160692
"Urotrygon cimar",4.1875,4.87007650884667
"Pteroplatytrygon violacea",4.17717206132879,0.330690716170003
"Dasyatis sabina",4.1689497716895,1.37776574448781
"Mustelus norrisi",4.16490765171504,0.68003799092827
"Dalatias licha",4.16416416416416,0.322073732921801
"Bathyraja multispinis",4.15738161559889,0.470280357987038
"Apristurus riveri",4.14285714285714,0.966763962071801
"Notoraja tobitukai",4.1078431372549,2.15287537224903
"Squaliolus aliae",4.10479041916168,0.491312556109926
"Eusphyra blochii",4.09721071527202,0.258159456405939
"Dipturus gigas",4.0672268907563,1.12343630069691
"Raja velezi",4.06185567010309,2.00279892739291
"Rhinobatos lentiginosus",4.0125,1.08773145685055
"Carcharhinus sealei",4.0095590502621,0.268942342185201
"Malacoraja obscura",4,5.60583310121681
"Potamotrygon brachyura",4,9.87293003493631
"Potamotrygon motoro",4,5.806885154831
"Squalus bahiensis",4,19.6946385566932
